Configurable ANSI disabled.
> 
                            Areas of 3 Kingdoms
                             (651 areas listed)
 No.:   Creator(s):          Area Name:                          Realm:
 ----   -----------          ----------                          ------
   1.   Adalius              B Sharp Jazz Club                   Chaos       
   2.   Adalius              Dexter's laboratory                 Chaos       
   3.   Adalius              Windraker Manor                     Fantasy     
   4.   Alayna               Winter Wonderland                   Fantasy     
   5.   Alerik               O'Hare International Airport        Science     
   6.   Alfonzo and          Alfonzo's Nightmare                 Chaos
        Tuesdai           
   7.   Amish                Halo                                Chaos       
   8.   Amish                The Tomb of Belzer Stonefoot        Fantasy     
   9.   Aneki                Dragonball Z                        Chaos       
  10.   Aneki                Ryogi-Pei                           Fantasy     
  11.   Aneki and Adalius    Archon                              Chaos       
  12.   Angio                Gas Station                         Science     
  13.   Aravan               Isle of Bones                       Fantasy     
  14.   Argoth               Kellen Mausoleum                    Fantasy     
  15.   Ariakus              Military Camp                       Science     
  16.   Ariakus              Old Sewers                          Science     
  17.   Arrion               Starcraft                           Newbieland  
  18.   Arrion               Starcraft:Broodwar                  Science     
  19.   Arrion and Craid     Peasant Farm                        Newbieland  
  20.   Artex                Freezer                             Chaos       
  21.   Artex                Hyperfunkzone                       Chaos       
  22.   Aserena              Lost City                           Science     
  23.   Aserena              Waldo's House                       Chaos       
  24.   Aserena and          Electric Cave                       Chaos
        Frizzle           
  25.   Asheratyluk          Aruwin's Windmill                   Fantasy     
  26.   Askye                Balur's Cave                        Fantasy     
  27.   Assassin             Mortimer's Church                   Science     
  28.   Ath                  The Black Case                      Chaos       
  29.   Aztec                Guile's Forest                      Fantasy     
  30.   Aztec                Troll Hunter's Cabin                Fantasy     
  31.   Aztec                Zippo Showcase                      Chaos       
  32.   Bake                 Chaos Museum                        Chaos       
  33.   Bake                 OJ Cow's Apartment                  Chaos       
  34.   Bake                 Shadow Tree                         Fantasy     
  35.   Barrayani            The Tabard Inn                      Chaos       
  36.   Bebe                 A Gigantic Bedroom                  Chaos       
  37.   Bilbo                MTV Studio                          Newbieland  
  38.   Blackstaff and       Hobgoblin Cave                      Fantasy
        Pull              
  39.   Blazen               Desert Nomad Village                Fantasy     
  40.   Blazen               Forest of Wolves                    Chaos       
  41.   Blizzard             Aquarium                            Chaos       
  42.   Blizzard             Halloween Shop                      Pinnacle
                                                                 (CLOSED)    
  43.   Blizzard             Physics Lab                         Chaos       
  44.   Bran                 A High Tor                          Fantasy     
  45.   Bran                 Darklynd Park                       Fantasy     
  46.   Bran                 Faunist Guild                       Fantasy     
  47.   Bran                 Forest of Menhirs                   Fantasy     
  48.   Bran                 Houses of the Wayhaven Rich         Fantasy     
  49.   Bran                 Murus Faralain                      Fantasy     
  50.   Bran                 Tower of Miritar                    Fantasy     
  51.   Bran and Timescape   Serinth                             Fantasy     
  52.   Briareos             Arendia                             Fantasy
                                                                 (DEFUNCT)   
  53.   Briareos             Pandaemonium                        Chaos       
  54.   Caalan               Jaffa's Lair                        Fantasy     
  55.   Caelestis            PG's                                Chaos       
  56.   Cailet               Askar's Aviary                      Fantasy     
  57.   Cailet               Inn of the Last Home                Chaos       
  58.   Cailet               Undead Keep                         Newbieland  
  59.   Calaran              Blingdenwood                        Fantasy     
  60.   Calico and Slick     Crydee                              Chaos       
  61.   Calvin               Lleera's Tree                       Fantasy     
  62.   Casso                3KP Newspaper Office                Pinnacle    
  63.   Casso                Aunt May's Cottage                  Fantasy     
  64.   Casso                Portentous Shoppe                   Fantasy     
  65.   Chewbacon and Bebe   Tomb of Almoni Ploni                Fantasy     
  66.   Chris                Monkeytown                          Chaos       
  67.   Chrome               Military Bunker                     Science     
  68.   Chrome               SolChem                             Science     
  69.   Cirrus               Borg Cube                           Science     
  70.   Cirrus               Sea Cliffs                          Fantasy     
  71.   Cirrus               Seahaven                            Fantasy     
  72.   Cletus               Atlanta                             Science     
  73.   Cletus               D.C. Megatech                       Science     
  74.   Cletus               First Church of Christ, Computer    Science
                             Programmer                       
  75.   Cletus               Kord Mutual Insurance               Science     
  76.   Cletus               Pittsburgh                          Science     
  77.   Cletus               Tower of Arcanarton                 Fantasy     
  78.   Crolack              Halfways Space Station              Newbieland  
  79.   Crolack              X1S17 Stealth Tank                  Science     
  80.   Crossbone            Chapel                              Fantasy     
  81.   Crossbone            Spooky Pines                        Chaos       
  82.   Crowley              Dreamville                          Fantasy     
  83.   Damo                 Desert Palace                       Fantasy     
  84.   Damo                 Newbie Academy                      Newbieland  
  85.   Damo                 Purana's Cave                       Fantasy     
  86.   Damo                 Scavenger Hunt Game Room            Pinnacle    
  87.   Darrkin              Alizarian Tower                     Fantasy     
  88.   Darrkin              Worm's Talon Airship Docks          Fantasy     
  89.   Darwi                Used Car Lot                        Chaos       
  90.   Dayln                Dayln's Mind                        Chaos       
  91.   Dayln                Gladiatorial Arena                  Pinnacle    
  92.   Dayln                Global Merc Training Theatre        Science     
  93.   Dayln                Global Merc, Detroit                Science     
  94.   Dayln                Nomad Camp                          Fantasy     
  95.   Delenn               Florida Sinkhole                    Science     
  96.   Devesine             Alagon's Hill                       Fantasy     
  97.   Distortion           Alien Ship                          Science     
  98.   Distortion           Casaria                             Fantasy     
  99.   Distortion           Duke Nukem                          Science     
 100.   Distortion           Javelin's tower                     Fantasy     
 101.   Distortion           Overlands                           Fantasy     
 102.   Distortion           Steel Factory                       Science
                                                                 (CLOSED)    
 103.   Distortion           The Ten Commandments                Chaos       
 104.   Doh                  A Spectral Warehouse                Chaos       
 105.   Doh                  Whorehouse                          Science
                                                                 (DEFUNCT)   
 106.   Doh and Lostar       The Simpsons                        Chaos       
 107.   Dozy                 Desert Caverns                      Fantasy     
 108.   Dozy                 Kyoto                               Chaos       
 109.   Drakacanus           Darkmoore                           Chaos       
 110.   Druss                Abbey of Tyr                        Fantasy     
 111.   Druss                Chaos Candy Store                   Chaos       
 112.   Druss                Leprechaun Village                  Chaos       
 113.   Druss                Ruined Bunker                       Science     
 114.   Druss                Symbearn Crypt                      Fantasy     
 115.   Druss                Tomb of King Alaren                 Fantasy     
 116.   Druss and Darkfyre   Arovian Graveyard                   Fantasy     
 117.   Dynon                Aiden's Tomb                        Fantasy     
 118.   Dynon                Codename:Kodiak                     Science and
                                                                 Newbieland  
 119.   Dynon                Newbieland Transportation Center    Newbieland
                                                                 (DEFUNCT)   
 120.   Dynon                The Pinnacle Humidor                Pinnacle    
 121.   Eek                  Gnoll Outpost                       Fantasy     
 122.   Eek and Beefcake     Fidohell                            Chaos       
 123.   Eek and Beefcake     The Tree of Life                    Chaos       
 124.   Eek and Beefcake     Tower of the Grand Summoner         Fantasy     
 125.   Eek and Beefcake     Van Richten Manor                   Fantasy     
 126.   Elana                Disney                              Newbieland  
 127.   Elana                Pinnacle Law Office                 Pinnacle    
 128.   Elana and Vivianne   Newbie Forest                       Newbieland  
 129.   Eliot                Mystic Forest                       Chaos       
 130.   Fantasy              Frost Giant Lair                    Fantasy     
 131.   Fantasy              Ice Crevice                         Fantasy     
 132.   Fido                 Colosseum                           Fantasy     
 133.   Fido                 Goon Shop                           Pinnacle
                                                                 (DEFUNCT)   
 134.   Fido                 Hellpit                             Chaos       
 135.   Flaxen               Bomb Shelter                        Science     
 136.   Flaxen               Happy Ed's Chinchilla Farm          Chaos       
 137.   Flaxen               Tower of Pak-Tor                    Fantasy     
 138.   Flaxen and Beast     Chicago Zoo                         Chaos       
 140.   Foggie               Old Woman in the Shoe               Chaos       
 141.   Frizzle              Ladder                              Chaos       
 142.   Fubger               The Library of Elandra              Fantasy     
 143.   Gabriel              Barrow                              Fantasy
                                                                 (DEFUNCT)   
 144.   Ganzie               Clear Falls Valley                  Fantasy     
 145.   Garet                Dan's Garage                        Science     
 146.   Gerin                Game Room                           Pinnacle    
 147.   Gerin                Mos Eisley Cantina                  Science     
 148.   Glorfindel           Chaotic Forest                      Chaos       
 149.   Glorfindel           Disney World                        Chaos       
 150.   Glorfindel           Epcot                               Chaos       
 151.   Glorfindel           Mud Puddle                          Chaos       
 152.   Glorfindel           Ralintaro's Tower                   Fantasy and
                                                                 Newbieland  
 153.   Glorfindel           Schroedinger's Lab                  Science     
 154.   Glorfindel           The Big Red Shoe                    Chaos       
 155.   Gogglesman           Fraggle Rock                        Chaos       
 156.   Gogmagog             Bandit Camp                         Science     
 157.   Gogmagog             ICU                                 Science     
 158.   Green                Antietam Battlefield                Chaos       
 159.   Green                Battlestar Galactica                Science     
 160.   Green                Ultimate Tournament                 Chaos       
 161.   Groosh               Abandoned Building                  Science     
 162.   Groosh               Care Bears                          Chaos       
 163.   Groosh               Knivur Ruins                        Fantasy     
 164.   Groosh               Lothlarian                          Newbieland  
 165.   Halcyon              Larem Cemetery                      Fantasy     
 166.   Hayt                 ROTC                                Chaos       
 167.   Heath                Devourer Cavern                     Fantasy     
 168.   Heath                Hockey Arena                        Chaos       
 169.   Heath                UED Installation                    Science     
 170.   Hefford              Poker Room                          Pinnacle    
 171.   Highlord             Elemental Planes (Earth)            Chaos
                                                                 (CLOSED)    
 172.   Hobbes               Contention Training Grounds         Science     
 173.   Hobbes               Kalaena's Fountain                  Fantasy     
 174.   Horus                Warhammer 40,000                    Science     
 175.   Igor                 Ice Fishing                         Chaos       
 176.   Igor                 Laboratory Maze                     Chaos       
 177.   Igor                 Temple of Syrinx                    Science     
 178.   Igor and Edroman     WWF Ring                            Chaos       
 179.   Indium               Jigokudani                          Fantasy     
 180.   Indium               Patisserie                          Science     
 181.   Infiniti             Calvin and Hobbes                   Chaos       
 182.   Infiniti             Nethack                             Chaos       
 183.   Infiniti             Refugee House                       Science     
 184.   Ink                  Solarpeak                           Fantasy     
 185.   It                   Haunted House                       Chaos       
 186.   It                   Lost Ship                           Chaos       
 187.   Jaxom                Illuminati Pyramid                  Chaos       
 188.   Jeffo                Last Chance Truck Stop              Science     
 189.   Johnny               Desert Ruins                        Fantasy     
 190.   Johnny               Sarkath Khan                        Fantasy     
 191.   Joker                Elegon's Hut                        Fantasy     
 192.   Joker                Gremlins                            Chaos       
